hr,steps,temp,calories
106,0,86.9,2.7
108,0,86.9,2.8
108,0,86.9,3
108,0,87.8,3
104,0,87.8,2.8
102,0,87.8,2.5
100,0,87.8,2.3
101,0,87.8,2.5
102,0,87.8,2.5
103,0,87.8,2.5
103,0,87.8,2.6
102,0,87.8,2.4
103,0,87.8,2.5
104,0,87.8,2.6
104,0,87.8,2.6
102,0,87.8,2.5
99,0,87.8,2.3
104,0,87.8,2.7
104,0,87.8,2.6
109,55,88.7,3.2
118,82,88.7,6
110,0,88.7,3.3
102,0,88.7,2.6
117,51,88.7,5.2
115,51,88.7,4.7
108,19,88.7,3.1
105,0,88.7,2.6
93,0,88.7,2.1
98,0,88.7,2.2
104,0,88.7,2.8
107,0,88.7,2.9
112,0,88.7,3.4
111,0,88.7,3.3
112,0,88.7,3.5
110,0,88.7,3.2
111,0,89.6,3.2
111,0,89.6,3.3
109,0,89.6,3.1
105,0,89.6,2.9
111,0,89.6,3.6
110,0,89.6,3.3
112,0,90.5,3.4
111,0,90.5,3.3
103,0,90.5,2.7
100,0,90.5,2.3
101,0,90.5,2.4
105,0,90.5,2.8
99,25,90.5,2.4
115,67,90.5,4.5
110,52,90.5,4.1
108,0,89.6,3.1
104,0,89.6,2.7
101,0,89.6,2.3
102,0,89.6,2.5
101,0,89.6,2.4
106,13,89.6,2.8
99,13,90.5,2.4
97,14,90.5,2.1
96,0,90.5,2.1
104,0,90.5,2.7
101,0,90.5,2.4
100,0,90.5,2.3
98,0,90.5,2.2
99,0,90.5,2.3
100,0,90.5,2.3
100,0,90.5,2.3
102,0,90.5,2.5
95,0,90.5,2.1
103,0,90.5,2.6
99,0,90.5,2.3
100,0,90.5,2.3
98,0,91.4,2.3
98,0,91.4,2.1
97,0,91.4,2.1
98,0,91.4,2.2
98,0,91.4,2.2
98,0,91.4,2.2
96,0,91.4,2.1
96,0,91.4,2
96,0,90.5,2.1
98,0,90.5,2.2
95,0,90.5,1.9
103,0,90.5,2.7
95,0,90.5,2
87,0,90.5,1.6
84,0,90.5,1.7
100,0,91.4,2.4
99,0,91.4,2.4
98,0,91.4,2.2
103,7,90.5,2.7
101,0,90.5,2.4
105,0,90.5,2.7
100,0,90.5,2.4
101,12,90.5,2.7
97,0,90.5,2.1
95,0,90.5,2
96,0,90.5,2.1
98,0,90.5,2.2
96,0,90.5,2
97,0,90.5,2.2
98,0,90.5,2.3
94,0,90.5,2
93,0,90.5,2
96,0,90.5,2.1
100,0,90.5,2.5
92,0,90.5,1.9
95,0,90.5,2.1
98,0,90.5,2.3
97,0,90.5,2.2
95,15,90.5,2.1
100,12,90.5,2.7
98,0,90.5,2.3
98,0,89.6,2.3
94,17,89.6,2.1
95,0,89.6,2.1
94,0,89.6,2
94,0,89.6,1.9
98,0,89.6,2.5
93,0,89.6,1.9
92,0,89.6,1.9
94,0,89.6,2
95,0,89.6,2
94,0,89.6,2
105,0,89.6,2.6
106,40,89.6,2.9
104,0,89.6,2.8
102,13,89.6,2.3
97,11,88.7,2.6
103,56,88.7,2.8
101,44,88.7,2.8
99,50,87.8,2.5
102,67,87.8,2.9
111,64,87.8,4.2
102,50,87.8,2.7
109,0,87.8,3
107,0,87.8,2.9
109,0,87.8,3.1
106,0,87.8,2.9
102,0,88.7,2.6
102,0,88.7,2.5
97,0,89.6,2.2
105,0,89.6,2.8
104,0,89.6,2.6
103,0,89.6,2.6
104,0,89.6,2.6
99,0,90.5,2.2
101,0,90.5,2.5
100,0,90.5,2.3
100,0,91.4,2.4
101,0,91.4,2.4
103,0,91.4,2.6
101,0,91.4,2.4
101,0,91.4,2.4
102,0,91.4,2.5
99,0,91.4,2.3
103,0,91.4,2.6
100,0,91.4,2.4
95,0,91.4,2.1
103,0,91.4,2.5
105,0,92.3,2.8
96,0,92.3,2.1
95,0,92.3,2.1
97,0,92.3,2.2
101,0,92.3,2.5
103,0,92.3,2.6
101,0,92.3,2.4
103,0,92.3,2.6
101,0,92.3,2.5
98,0,92.3,2.3
101,12,92.3,2.5
102,37,92.3,2.7
104,89,92.3,3.1
101,30,92.3,2.8
103,56,92.3,2.8
99,0,92.3,2.2
100,0,91.4,2.4
