hr,steps,gsr,calories,temp
95,0,5.67E-05,2,87.8
87,0,5.63E-05,1.6,87.8
86,0,5.67E-05,1.6,87.8
88,0,5.73E-05,1.7,87.8
94,0,5.70E-05,1.9,87.8
91,0,5.67E-05,1.7,87.8
88,0,5.70E-05,1.6,87.8
90,0,5.92E-05,1.8,87.8
92,0,5.70E-05,1.8,87.8
92,0,5.96E-05,1.8,87.8
93,0,5.70E-05,1.9,87.8
93,0,5.73E-05,1.9,88.7
102,8,5.73E-05,2.7,87.8
98,0,5.70E-05,2.3,87.8
94,0,5.76E-05,2,88.7
98,0,5.73E-05,2.2,88.7
96,0,5.83E-05,2.1,87.8
98,0,5.79E-05,2.2,88.7
98,0,5.70E-05,2.2,88.7
100,0,5.79E-05,2.4,88.7
95,0,5.79E-05,2.1,88.7
97,0,5.76E-05,2.3,88.7
97,0,5.76E-05,2.2,88.7
99,0,5.83E-05,2.3,88.7
95,0,5.73E-05,2.1,87.8
95,0,5.83E-05,2,88.7
95,0,5.70E-05,2,87.8
97,0,5.79E-05,2.1,87.8
96,0,5.79E-05,2.2,88.7
95,0,5.79E-05,2.1,88.7
97,0,5.79E-05,2.3,88.7
98,0,5.79E-05,2.2,88.7
100,0,5.79E-05,2.4,88.7
101,0,5.76E-05,2.4,87.8
98,0,5.73E-05,2.2,87.8
99,0,5.76E-05,2.3,88.7
96,0,5.79E-05,2.2,88.7
97,0,5.76E-05,2.2,88.7
94,0,5.76E-05,2,88.7
96,0,5.76E-05,2.1,88.7
99,0,5.76E-05,2.3,88.7
94,0,5.76E-05,2,87.8
94,0,5.73E-05,2,87.8
81,0,5.76E-05,1.5,87.8
87,0,5.83E-05,1.6,88.7
90,0,5.79E-05,1.7,88.7
93,0,5.73E-05,1.9,88.7
93,0,5.76E-05,1.8,88.7
93,0,5.83E-05,1.9,88.7
93,0,5.76E-05,1.8,88.7
97,0,5.76E-05,2.2,88.7
99,13,5.76E-05,2.3,88.7
103,0,5.76E-05,2.6,88.7
98,14,5.79E-05,2.4,88.7
89,0,5.73E-05,1.8,88.7
91,0,5.70E-05,1.8,88.7
94,0,5.73E-05,2,88.7
74,0,5.76E-05,1.4,88.7
91,0,5.73E-05,1.7,88.7
94,0,5.76E-05,2,88.7
89,0,5.83E-05,1.7,88.7
90,0,5.70E-05,1.6,88.7
98,87,5.76E-05,2.7,89.6
109,51,5.79E-05,3.3,88.7
110,7,5.79E-05,4.5,88.7
95,0,5.73E-05,2,88.7
92,0,5.70E-05,1.7,88.7
94,0,5.73E-05,2,87.8
93,0,5.73E-05,1.8,87.8
96,0,5.70E-05,2.1,87.8
98,0,5.67E-05,2.2,87.8
91,0,5.73E-05,1.8,87.8
94,0,5.76E-05,1.9,87.8
97,0,5.67E-05,2.1,87.8
109,0,5.63E-05,3,87.8
112,0,5.73E-05,3.7,87.8
110,0,5.70E-05,2.8,87.8
106,0,5.70E-05,2.8,87.8
104,0,5.73E-05,2.7,88.7
107,0,5.63E-05,2.8,88.7
112,0,5.67E-05,3.4,88.7
109,0,5.73E-05,3,88.7
109,0,5.76E-05,3,88.7
108,0,5.79E-05,2.9,88.7
117,0,5.79E-05,4.4,88.7
117,0,5.76E-05,4.8,88.7
129,0,5.76E-05,2.9,88.7
116,0,5.73E-05,5.1,87.8
122,0,5.73E-05,6.2,87.8
126,0,5.76E-05,6.2,87.8
117,0,5.73E-05,5.2,88.7
121,0,5.73E-05,6.8,87.8
126,0,5.70E-05,7.6,87.8
129,7,5.70E-05,9.1,87.8
117,0,5.70E-05,5.4,87.8
111,80,5.63E-05,4.5,87.8
102,39,5.63E-05,3,87.8
89,46,5.70E-05,2,87.8
111,0,5.70E-05,3.1,86.9
109,0,5.76E-05,3,86.9
114,30,5.60E-05,4.3,86.9
109,0,5.63E-05,3,86.9
106,0,5.57E-05,2.7,86.9
108,0,5.89E-05,2.8,86.9
108,0,5.86E-05,3,86.9
108,0,5.73E-05,3,87.8
104,0,5.63E-05,2.8,87.8
102,0,5.70E-05,2.5,87.8
100,0,5.63E-05,2.3,87.8
101,0,5.76E-05,2.5,87.8
